year_film,year_ceremony,ceremony,category,name,film,winner
2018,2019,91,MUSIC (Original Song),Music and Lyric by Gillian Welch and David Rawlings,The Ballad of Buster Scruggs,False
2018,2019,91,BEST PICTURE,"Kevin Feige, Producer",Black Panther,False
2018,2019,91,BEST PICTURE,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele and Spike Lee, Producers",BlacKkKlansman,False
2018,2019,91,BEST PICTURE,"Graham King, Producer",Bohemian Rhapsody,False
2018,2019,91,BEST PICTURE,"Ceci Dempsey, Ed Guiney, Lee Magiday and Yorgos Lanthimos, Producers",The Favourite,False
2018,2019,91,BEST PICTURE,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers",Green Book,True
2018,2019,91,BEST PICTURE,"Gabriela Rodríguez and Alfonso Cuarón, Producers",Roma,False
2018,2019,91,BEST PICTURE,"Bill Gerber, Bradley Cooper and Lynette Howell Taylor, Producers",A Star Is Born,False
2018,2019,91,BEST PICTURE,"Dede Gardner, Jeremy Kleiner, Adam McKay and Kevin Messick, Producers",Vice,False
2018,2019,91,PRODUCTION DESIGN,Production Design: Hannah Beachler; Set Decoration: Jay Hart,Black Panther,True
2018,2019,91,PRODUCTION DESIGN,Production Design: Fiona Crombie; Set Decoration: Alice Felton,The Favourite,False
2018,2019,91,PRODUCTION DESIGN,Production Design: Nathan Crowley; Set Decoration: Kathy Lucas,First Man,False
2018,2019,91,PRODUCTION DESIGN,Production Design: John Myhre; Set Decoration: Gordon Sim,Mary Poppins Returns,False
2018,2019,91,PRODUCTION DESIGN,Production Design: Eugenio Caballero; Set Decoration: Bárbara Enríquez,Roma,False
2018,2019,91,SHORT FILM (Animated),Alison Snowden and David Fine,Animal Behaviour,False
2018,2019,91,SHORT FILM (Animated),Domee Shi and Becky Neiman-Cobb,Bao,True
2018,2019,91,SHORT FILM (Animated),Louise Bagnall and Nuria González Blanco,Late Afternoon,False
2018,2019,91,SHORT FILM (Animated),Andrew Chesworth and Bobby Pontillas,One Small Step,False
2018,2019,91,SHORT FILM (Animated),Trevor Jimenez,Weekends,False
2018,2019,91,SHORT FILM (Live Action),Vincent Lambe and Darren Mahon,Detainment,False
2018,2019,91,SHORT FILM (Live Action),Jeremy Comte and Maria Gracia Turgeon,Fauve,False
2018,2019,91,SHORT FILM (Live Action),Marianne Farley and Marie-Hélène Panisset,Marguerite,False
2018,2019,91,SHORT FILM (Live Action),Rodrigo Sorogoyen and María del Puy Alvarado,Mother,False
2018,2019,91,SHORT FILM (Live Action),Guy Nattiv and Jaime Ray Newman,Skin,True
2018,2019,91,SOUND EDITING,Benjamin A. Burtt and Steve Boeddeker,Black Panther,False
2018,2019,91,SOUND EDITING,John Warhurst and Nina Hartstone,Bohemian Rhapsody,True
2018,2019,91,SOUND EDITING,Ai-Ling Lee and Mildred Iatrou Morgan,First Man,False
2018,2019,91,SOUND EDITING,Ethan Van der Ryn and Erik Aadahl,A Quiet Place,False
2018,2019,91,SOUND EDITING,Sergio Díaz and Skip Lievsay,Roma,False
2018,2019,91,SOUND MIXING,"Steve Boeddeker, Brandon Proctor and Peter Devlin",Black Panther,False
2018,2019,91,SOUND MIXING,"Paul Massey, Tim Cavagin and John Casali",Bohemian Rhapsody,True
2018,2019,91,SOUND MIXING,"Jon Taylor, Frank A. Montaño, Ai-Ling Lee and Mary H. Ellis",First Man,False
2018,2019,91,SOUND MIXING,"Skip Lievsay, Craig Henighan and José Antonio García",Roma,False
2018,2019,91,SOUND MIXING,"Tom Ozanich, Dean Zupancic, Jason Ruder and Steve Morrow",A Star Is Born,False
2018,2019,91,VISUAL EFFECTS,"Dan DeLeeuw, Kelly Port, Russell Earl and Dan Sudick",Avengers: Infinity War,False
2018,2019,91,VISUAL EFFECTS,"Christopher Lawrence, Michael Eames, Theo Jones and Chris Corbould",Christopher Robin,False
2018,2019,91,VISUAL EFFECTS,"Paul Lambert, Ian Hunter, Tristan Myles and J.D. Schwalm",First Man,True
2018,2019,91,VISUAL EFFECTS,"Roger Guyett, Grady Cofer, Matthew E. Butler and David Shirk",Ready Player One,False
2018,2019,91,VISUAL EFFECTS,"Rob Bredow, Patrick Tubach, Neal Scanlan and Dominic Tuohy",Solo: A Star Wars Story,False
2018,2019,91,ADAPTED SCREENPLAY,Written by Joel Coen & Ethan Coen,The Ballad of Buster Scruggs,False
2018,2019,91,ADAPTED SCREENPLAY,Written by Charlie Wachtel & David Rabinowitz and Kevin Willmott & Spike Lee,BlacKkKlansman,True
2018,2019,91,ADAPTED SCREENPLAY,Screenplay by Nicole Holofcener and Jeff Whitty,Can You Ever Forgive Me?,False
2018,2019,91,ADAPTED SCREENPLAY,Written for the screen by Barry Jenkins,If Beale Street Could Talk,False
2018,2019,91,ADAPTED SCREENPLAY,Screenplay by Eric Roth and Bradley Cooper & Will Fetters,A Star Is Born,False
2018,2019,91,ORIGINAL SCREENPLAY,Written by Deborah Davis and Tony McNamara,The Favourite,False
2018,2019,91,ORIGINAL SCREENPLAY,Written by Paul Schrader,First Reformed,False
2018,2019,91,ORIGINAL SCREENPLAY,"Written by Nick Vallelonga, Brian Currie, Peter Farrelly",Green Book,True
2018,2019,91,ORIGINAL SCREENPLAY,Written by Alfonso Cuarón,Roma,False
2018,2019,91,ORIGINAL SCREENPLAY,Written by Adam McKay,Vice,False
2018,2019,91,HONORARY AWARD, Marvin Levy,,True
2018,2019,91,HONORARY AWARD, Lalo Schifrin,,True
2018,2019,91,HONORARY AWARD, Cicely Tyson,,True
2018,2019,91,IRVING G. THALBERG MEMORIAL AWARD,Kathleen Kennedy and Frank Marshall,,True
2019,2020,92,ACTOR,Antonio Banderas,Pain and Glory,False
